image_name,model_name,channel_segment,channel_nuclei,channel_axis,invert,normalize,diameter,do_3D,flow_threshold,cellprob_threshold,interp,min_size,max_size_fraction,niter,stitch_threshold,tile_overlap,type,duration,are,precision,recall,f1,jaccard_sklearn,jaccard_cellpose
20240305_P013T_A003_cropped_isotropic,cyto3,0,0,,False,False,30,True,0.5,0.1,False,15,0.5,100,0.0,0.1,Nuclei,7.497693061828613,0.7925671915563952,0.11783720320905089,0.8655070447099432,0.20743280844360482,0.1254937031903091,0.0017998934983018521
20240305_P013T_A003_cropped_isotropic,cyto2,0,0,,True,False,17,True,0.7,0.0,False,15,0.5,100,0.0,0.1,Nuclei,4.273884057998657,0.57211929249287,0.3870111497209566,0.47840134908419374,0.4278807075071301,0.7158113245521904,0.03231379435978723
20240305_P013T_A003_cropped_isotropic,yeast_BF_cp3,0,0,,False,False,17,True,0.1,0.0,False,15,0.5,100,0.0,0.1,Nuclei,3.3978140354156494,0.7745418765829926,1.0,0.12705145276770993,0.2254581234170074,0.9907402184594747,nan
20240305_P013T_A003_cropped_isotropic,deepbacs_cp3,0,0,,False,False,17,True,0.5,0.5,False,15,0.5,100,0.0,0.1,Nuclei,4.09552001953125,0.7804681198928187,0.677751281975693,0.1309787438120033,0.21953188010718133,0.8068884849661268,nan
20240305_P013T_A003_cropped_isotropic,cyto3,0,0,,False,False,50,True,0.5,0.0,False,15,0.5,100,0.0,0.1,Nuclei,7.552284002304077,0.7925657012971055,0.11784160379609342,0.865321578871053,0.20743429870289448,0.12536320733512243,0.0017995622995358594
20240305_P013T_A003_cropped_isotropic,yeast_BF_cp3,0,0,,True,False,17,True,0.1,0.2,False,15,0.5,100,0.0,0.1,Nuclei,3.4128267765045166,0.7745418765829926,1.0,0.12705145276770993,0.2254581234170074,0.9907402184594747,nan
20240305_P013T_A003_cropped_isotropic,bact_fluor_cp3,0,0,,False,True,10,True,0.3,0.0,False,15,0.5,100,0.0,0.1,Nuclei,3.6100358963012695,0.7633326076268186,0.14229401445218565,0.7027526299403748,0.23666739237318132,0.9818028679511314,nan
20240305_P013T_A003_cropped_isotropic,yeast_PhC_cp3,0,0,,True,False,100,True,0.7,0.2,False,15,0.5,100,0.0,0.1,Nuclei,4.361063003540039,0.787385302672064,0.5833442789581584,0.1299978674944345,0.212614697327936,0.7243596916365649,0.0033212375991139888
20240305_P013T_A003_cropped_isotropic,tissuenet_cp3,0,0,,False,True,30,True,0.5,0.5,False,15,0.5,100,0.0,0.1,Nuclei,3.5466320514678955,0.7723041952572376,0.7852521402792403,0.1331527326696706,0.22769580474276238,0.9906866236051909,nan
20240305_P013T_A003_cropped_isotropic,cyto2_cp3,0,0,,True,True,10,True,0.7,0.2,False,15,0.5,100,0.0,0.1,Nuclei,3.716681957244873,0.8179372975489207,0.25190124487489246,0.1425432079065047,0.18206270245107925,0.9831949691432027,nan
20240305_P013T_A003_cropped_isotropic,deepbacs_cp3,0,0,,False,False,70,True,0.1,0.5,False,15,0.5,100,0.0,0.1,Nuclei,4.0985329151153564,0.7804681198928187,0.677751281975693,0.1309787438120033,0.21953188010718133,0.8068884849661268,nan
20240305_P013T_A003_cropped_isotropic,bact_fluor_cp3,0,0,,False,True,70,True,0.5,0.2,False,15,0.5,100,0.0,0.1,Nuclei,3.553891897201538,0.7642695214510085,0.1421072630005939,0.690928560480567,0.23573047854899162,0.9820107117668021,nan
20240305_P013T_A003_cropped_isotropic,cyto2_cp3,0,0,,False,False,30,True,0.7,0.2,False,15,0.5,100,0.0,0.1,Nuclei,5.817994594573975,0.7016463105777748,0.24547243922448522,0.38027496618200707,0.2983536894222251,0.009268282644242794,0.0017037817260449845
20240305_P013T_A003_cropped_isotropic,livecell_cp3,0,0,,True,False,17,True,0.3,0.1,False,15,0.5,100,0.0,0.1,Nuclei,3.4034409523010254,0.7745418765829926,1.0,0.12705145276770993,0.2254581234170074,0.9907402184594747,nan
20240305_P013T_A003_cropped_isotropic,cyto2,0,0,,False,True,17,True,0.7,0.2,False,15,0.5,100,0.0,0.1,Nuclei,3.6504898071289062,0.1314021097704816,0.7818619918671207,0.9769791163533924,0.8685978902295184,0.9744734218701815,nan
20240305_P013T_A003_cropped_isotropic,cyto2_cp3,0,0,,True,False,70,True,0.7,0.2,False,15,0.5,100,0.0,0.1,Nuclei,5.902372121810913,0.7016463105777748,0.24547243922448522,0.38027496618200707,0.2983536894222251,0.009268282644242794,0.0017037817260449845
20240305_P013T_A003_cropped_isotropic,cyto,0,0,,False,True,17,True,0.1,0.5,False,15,0.5,100,0.0,0.1,Nuclei,3.543184995651245,0.5976268270880216,0.4561264541013926,0.35995360451262143,0.4023731729119783,0.9823363576552115,nan
20240305_P013T_A003_cropped_isotropic,cyto2,0,0,,True,True,100,True,0.7,0.0,False,15,0.5,100,0.0,0.1,Nuclei,3.5805540084838867,0.3380723243239804,0.5096840475766636,0.9438607347062639,0.6619276756760196,0.9796112154282166,nan
20240305_P013T_A003_cropped_isotropic,bact_phase_cp3,0,0,,True,False,10,True,0.1,0.5,False,15,0.5,100,0.0,0.1,Nuclei,3.6998238563537598,0.7754177928342988,0.9734263305066315,0.12693374221801415,0.2245822071657012,0.9178172888091692,0.0019900411646958925
20240305_P013T_A003_cropped_isotropic,cyto,0,0,,False,False,10,True,0.5,0.1,False,15,0.5,100,0.0,0.1,Nuclei,5.182971000671387,0.4043069807964986,0.9095399559646165,0.4428742907712749,0.5956930192035015,0.008794070460479728,0.0034165467688290984
20240305_P013T_A003_cropped_isotropic,deepbacs_cp3,0,0,,True,False,10,True,0.5,0.5,False,15,0.5,100,0.0,0.1,Nuclei,4.0635199546813965,0.7804681198928187,0.677751281975693,0.1309787438120033,0.21953188010718133,0.8068884849661268,nan
20240305_P013T_A003_cropped_isotropic,yeast_BF_cp3,0,0,,False,False,30,True,0.5,0.1,False,15,0.5,100,0.0,0.1,Nuclei,3.3916847705841064,0.7745418765829926,1.0,0.12705145276770993,0.2254581234170074,0.9907402184594747,nan
20240305_P013T_A003_cropped_isotropic,livecell_cp3,0,0,,False,False,70,True,0.7,0.2,False,15,0.5,100,0.0,0.1,Nuclei,3.3449482917785645,0.7745418765829926,1.0,0.12705145276770993,0.2254581234170074,0.9907402184594747,nan
20240305_P013T_A003_cropped_isotropic,yeast_PhC_cp3,0,0,,True,True,70,True,0.5,0.0,False,15,0.5,100,0.0,0.1,Nuclei,5.97445011138916,0.7934079803848163,0.13043380535046553,0.4964770117542311,0.2065920196151837,0.07500189717868927,0.0013524990237467984
20240305_P013T_A003_cropped_isotropic,cyto2,0,0,,False,True,30,True,0.1,0.5,False,15,0.5,100,0.0,0.1,Nuclei,3.538872003555298,0.14493397560802135,0.76329262524736,0.971923907980737,0.8550660243919785,0.9765142121924182,nan
20240305_P013T_A003_cropped_isotropic,tissuenet_cp3,0,0,,False,False,17,True,0.7,0.1,False,15,0.5,100,0.0,0.1,Nuclei,5.80199408531189,0.7812668347831597,0.4827836063541431,0.14139792727359865,0.2187331652168403,0.3422887538386115,0.0026691874279099223
20240305_P013T_A003_cropped_isotropic,tissuenet_cp3,0,0,,True,False,100,True,0.5,0.0,False,15,0.5,100,0.0,0.1,Nuclei,5.757811069488525,0.7811885876216954,0.4829922912672512,0.14144542341894753,0.21881141237830465,0.3366829505046732,0.002616811811777725
20240305_P013T_A003_cropped_isotropic,livecell_cp3,0,0,,False,False,30,True,0.1,0.2,False,15,0.5,100,0.0,0.1,Nuclei,3.360330104827881,0.7745418765829926,1.0,0.12705145276770993,0.2254581234170074,0.9907402184594747,nan
20240305_P013T_A003_cropped_isotropic,nuclei,0,0,,False,False,10,True,0.7,0.5,False,15,0.5,100,0.0,0.1,Nuclei,3.36505389213562,0.7745418765829926,1.0,0.12705145276770993,0.2254581234170074,0.9907402184594747,nan
20240305_P013T_A003_cropped_isotropic,cyto2_cp3,0,0,,True,False,30,True,0.1,0.0,False,15,0.5,100,0.0,0.1,Nuclei,5.809250116348267,0.7015998426456274,0.24553833018866364,0.3802678334685065,0.2984001573543726,0.009264387170656337,0.0017038785883722696
20240305_P013T_A003_cropped_isotropic,bact_fluor_cp3,0,0,,True,False,17,True,0.3,0.1,False,15,0.5,100,0.0,0.1,Nuclei,4.425734043121338,0.6578319664526164,0.800511802871317,0.21758615958008054,0.3421680335473836,0.3701190611464512,0.0017723051318156006
20240305_P013T_A003_cropped_isotropic,cyto2,0,0,,True,True,70,True,0.5,0.5,False,15,0.5,100,0.0,0.1,Nuclei,3.5506439208984375,0.33982433928359224,0.5074913178941569,0.9442695314282279,0.6601756607164079,0.9811279494036191,nan
20240305_P013T_A003_cropped_isotropic,cyto2,0,0,,True,False,100,True,0.1,0.5,False,15,0.5,100,0.0,0.1,Nuclei,4.239806890487671,0.5722308838105249,0.38686835049554363,0.47834057190084944,0.4277691161894751,0.7184654115495138,0.03262607955853187
